genotype,Cu_eCo2,Cu_aCo2,Fe_eCo2,Fe_aCo2,Mg_eCo2,Mg_aCo2,Mn_eCo2,Mn_aCo2,Na_eCo2,Na_aCo2,Zn_eCo2,Zn_aCo2,C_eCo2,C_aCo2,N_eCo2,N_aCo2,N_change
ALL1-2,11.95,6.16,86.15,79.05,3073.1,3154.75,31.62,26.53,735.78,775.49,47.31,56.27,39.21,37.53,6.55,6.87,-4.72
CAM-16,7.54,9.36,72.34,101.7,2691.58,3168.77,27.38,36.18,793.71,932.29,46.97,59.45,39.36,38.91,6.57,7.36,-10.76
CAM-61,5.84,7.46,78.26,99.68,2418.44,3302.61,31.83,30.51,639.5,827.74,43.51,48.37,41.13,38.73,5.84,7.07,-17.49
CUR-3,7.69,8.24,75.65,100.68,2764.48,2983.87,37.2,35.97,755.23,824.41,35.96,54.46,40.42,39.42,6.83,7.2,-5.23
JEA,7.13,5.26,76.34,77.9,3324.15,2795.62,37.48,28.05,951.7,835.35,41.16,44.59,40.39,41.03,6.47,6.29,2.94
LAC-3,8.04,5.88,77.49,86.84,3113.55,2514.21,36.31,24.48,537.57,506,44.35,46.83,39.58,40.27,6.44,6.34,1.59
LAC-5,8.14,5.71,84.26,80.38,3220.48,3125.95,36.62,29.77,682.68,627.92,50.99,53.34,40.52,40.25,6.3,6.49,-2.9
LDV-14,9.19,7.46,97.1,95.27,2936.88,3118.82,34.9,26.7,1147.62,967.59,44.61,54.85,39.45,38.85,6.68,7.38,-9.56
LDV-25,5.81,7.53,67.99,95.5,2635.08,3256.51,32.91,35.96,746.97,715.89,27.34,50.55,40.55,38.64,6.43,7.61,-15.54
LDV-34,6.07,7.77,64.52,110.18,2642.75,3151.22,20.68,32.72,980.55,1029.77,25.92,48.73,40.94,38.66,4.97,6.54,-24.01
MIB-15,9.75,7.28,84.99,102.39,3568.2,3108.52,23,36.64,624.65,568.07,48.49,71.98,40.47,40,7.02,7.02,0
MIB-22,10.73,7.32,132.7,94.13,3314.84,3334.42,40.95,39.87,739.04,556.45,42.04,51.73,39.74,39.42,7.28,7.74,-5.96
MIB-28,14.07,5.83,86.74,82.95,3255.61,3190.95,34.5,29.15,841.61,822.65,39.52,53.54,40.22,38.83,7.11,7.25,-1.88
MIB-84,17.52,7.95,205.67,106.68,4045.85,3486.54,38.85,33.69,765.55,576.45,56.37,76.74,37.99,40.16,7.08,7.5,-5.64
MOG-37,7.94,7.78,69.44,84.83,2733.72,2750.24,35.36,31.81,971.11,936.7,32.03,43.83,39.94,39.55,6.52,7.19,-9.27
PAR-3,5.57,7.17,62.88,82.58,2719.79,3100.74,27.85,33.46,593.57,580.74,28.54,50.45,18.99,38.99,2.83,7.07,-59.92
PAR-4,.,5.57,.,92.13,.,2736.7,.,28.35,.,734.54,.,54.67,.,40.52,.,6.63,.
TOU-A1-43,5.67,6.25,67.56,76.39,2928.22,3121.06,36.25,40.36,617.65,716.07,38.22,55.73,40.69,38.69,6.04,7.06,-14.43
TOU-A1-62,7.03,8.17,79.47,84.42,2917.5,3040.24,35.63,42.34,630.57,473.37,35.16,55.95,40.16,39.28,6.15,7.04,-12.52
TOU-A1-96,6.41,7.45,99.74,83.23,3014.88,3622.37,33.86,59.3,667.31,547.49,36.37,71.79,37.99,37.27,5.63,7.6,-25.9
TOU-C-3,9.09,7.78,96.24,79.66,3380.21,3265.29,36.63,43.49,674.76,549.14,43.31,63.86,39.19,39.48,6.41,6.88,-6.78
TOU-E-11,6.2,6.35,69.35,82.82,3126.22,3300.51,36.46,44.71,675.15,549.43,37.18,55.21,40.81,40.17,6.55,7.3,-10.27
TOU-H-12,8.15,6.88,107.98,82.59,2840.99,3450.89,36.57,37.99,828.72,772.22,40.27,51.21,38.42,38.83,5.32,6.93,-23.24
TOU-H-13,7.63,6.44,95.77,99.76,3260.82,3414.04,31.63,30.94,814.42,693.11,39.7,46.54,38.3,37.55,7.06,6.5,8.6
TOU-I-17,6.86,7.98,74.59,75.73,2501.08,3297.43,27.89,37.86,602.47,547.6,30.32,56.92,40.5,38.36,5.53,7.11,-22.2
TOU-I-2,7.56,8.63,70.03,78.22,2793.7,3061.22,35.57,40.46,720.1,557.81,35.79,59.88,38.28,38.92,5.95,7.14,-16.62
TOU-I-6,7.13,7.41,78.69,89.68,2846.2,3520.6,30,39.94,983.81,845.36,33.2,53.09,39.09,38.82,5.25,6.93,-24.32
TOU-J-3,6.3,6.68,78.42,84.81,2654.71,3272.38,30.34,39.32,741.98,596.5,31.51,58.85,40.85,39.26,5.41,6.74,-19.67
VOU-1,6.35,6.21,56.88,72.69,2586.62,3023.99,28.44,38.88,856.02,745.99,32.91,51.53,40.62,38.53,5.85,6.12,-4.41
VOU-2,6.37,7.85,90.07,77.75,2480.03,2905.27,24.01,28.11,902.45,909.42,26.13,45.08,40.18,39.54,5,6.41,-21.99
Belmonte-4-94,7.48,5.87,72.83,68.44,2890.64,2365.55,36.75,32.13,735.81,659.83,36.97,50,40.16,40.26,5.37,6.69,-19.73
KBS-Mac-8,7.54,5.45,66.57,65.89,3482.28,2712.57,22.86,26.01,1022.86,788.01,31.4,37.41,38.95,39.99,6.51,6.34,2.74
MNF-Pot-48,7.61,11.7,73.5,125.44,2789.59,3164.45,33.78,47.29,923.44,916.43,41.39,67.45,39.63,38.34,5.79,7.07,-18.04
MNF-Pot-68,6.39,7.97,61.22,73.54,2164.96,2504.56,21.39,36.26,750.42,870.43,30.73,65.06,41.59,37.88,5,6.75,-25.87
MNF-Che-2,6.87,6.82,87.6,81.31,2330.91,2748.86,27.48,26.23,742.78,732.59,32.64,49.31,41.55,40.59,4.82,6.48,-25.59
Map-42,6.06,7.85,63.54,94.58,2756.94,3006.25,28.06,36.61,909.25,857.31,35.25,50.56,40.21,35.92,5.64,6.1,-7.55
Paw-3,6.34,8.05,69.46,80,2692.77,3331.19,26.02,45.64,747.12,838.91,26.93,48.32,40.76,38.57,5.75,6.6,-12.85
Pent-1,6.47,9.54,71.87,270.64,2308.96,2725.75,44.51,60.76,361.08,454.42,48.24,59.75,40.84,39.23,6.89,6.79,1.47
SLSP-30,8.9,8.2,113.76,73.51,3029.96,3147.3,33.47,36.88,626.84,593.19,38.34,44.82,39.36,38.89,6.68,6.98,-4.36
Ste-3,5.89,8.15,84.85,91.8,3254.29,3171.18,39.48,48.93,639.31,582,56.57,42.87,39.64,38.82,7.9,7.62,3.66
UKSE06-272,6.3,9.07,70.87,142.65,2660.42,3106.33,20.47,44.26,617.6,647.93,35.96,64.79,41.38,39.02,4.94,7,-29.38
UKSE06-273,8.8,12.9,83.56,76.11,3099.52,2787.53,31.04,19.35,618.3,478.56,35.96,23.22,40.14,.,6.29,.,.
UKID48,7.47,12.71,95.05,121.85,2981.35,2577.91,32.93,37.08,836.53,624.08,40.87,55.1,39.3,38.54,5.02,6.89,-27.19
UKID101,5.39,7.29,84.03,66.06,3093.88,2813.57,25.61,25.86,615.18,646.27,53.7,51.72,40.87,40.07,6.32,6.77,-6.67
App1-16,8.07,9.83,102.14,123.66,3050.24,2781.61,44.27,38.1,617.43,709.84,43.81,41.46,39.39,37.77,7.61,6.3,20.84
Bor-1,5.93,8.71,74.67,98.15,3354.36,3304.95,48.36,53.82,688.13,564.74,42.43,52.64,40.18,38.7,7.07,6.25,13.22
DraIV 1-5,4.82,9.23,65.68,86.66,2766.9,3351.19,24.11,61.02,722.96,562.04,39.27,70.51,41.35,40.33,4.97,6.8,-26.83
DraIV 1-14,5.05,6.74,152.64,81.89,1781.63,3021.58,22.11,44.44,616.07,595.43,27.88,47.93,42.51,38.68,3.79,7.22,-47.59
DraIV 6-16,5.53,16.03,73.42,72.15,2667.3,2753.84,28.68,46.54,601.04,559.41,37.63,55.01,40.7,39.63,5.4,6.69,-19.25
DraIV 6-35,6.91,7.22,77.25,81.61,3317.79,3103.39,34.28,33.7,669.9,562.85,50.39,65,39.57,39.66,7.08,6.63,6.74
Duk,6.93,9.28,74.25,102.64,3709.92,3489.74,57.67,62.59,1052.34,846.04,44.8,49.07,39.31,39.88,6.95,6.83,1.7
Fjä1-5,6,8.28,127.34,98.4,3494.34,3454.91,53.54,61.13,530.61,482.01,47.28,51.15,39.93,39.59,6.65,7.72,-13.83
Hovdala-2,5.36,7.86,71.47,96.7,3244.29,3353.18,39.05,42.13,473.24,374.15,40.08,404.71,39.43,38.43,6.82,7.49,-9
UKSE06-060,4.91,9.78,73.72,158.76,2706.05,2531.8,30.26,37.48,760.7,740.26,40.09,429.26,40.27,41.23,6.28,7.28,-13.79
TDr-18,4.77,15.83,83,84,3582.7,4037.05,35.54,57.84,645.73,433,45.08,48.82,40.58,38.24,7.23,7.96,-9.21
UKSE06-482,4.43,8.14,82.3,77.12,2675.11,3280.22,22.66,28.26,748.54,700.07,35.68,41.43,40.72,38.81,5.74,7.36,-21.93
Tottarp-2,6.64,9.92,84.18,85.99,3843.37,3869,46.24,44.27,545.83,422.09,47.9,43.51,38.93,39.34,6.61,7.27,-9.13
UduI 1-34,6.41,11.85,89.52,104.76,3578.34,3734.14,50.58,56.45,593.42,537.53,61.27,51.8,39.55,37.7,6.84,6.92,-1.21
ZdrI 2-24,6.32,12.04,102.76,112.76,3873.88,3834.29,46.11,48.62,643.73,561.25,54.54,434.14,39.54,38.95,7.32,7.41,-1.2
ZdrI 2-25,8.55,11.73,123.8,114.95,3717.82,3208.49,62.36,55.32,847.46,699.27,60.52,448.78,40.58,39.6,6.84,6.75,1.27
CIBC-2,8.03,12.02,94.18,215.38,3811.18,3271.43,58.6,50.66,676.4,541.98,55.12,435.94,40.56,40.54,6.87,7.45,-7.76
CIBC-4,6.69,14.72,103.64,243.88,3240.74,3545.24,38.21,41,601.77,567.66,46.09,489.08,39.77,39.56,6.61,6.88,-3.85
CIBC-5,6.85,12.45,93.3,214.02,3040.23,3031.81,38.74,46.28,569.04,442.85,56.67,437.44,40.51,40.16,6.93,7.5,-7.56
CSHL-5,6.81,11.3,65.47,208.75,3367.6,2739.34,43.32,33.68,1050.41,900.74,38.45,415.42,39.5,38.07,7.32,7.07,3.52
NFC-20,4.43,12.48,81.74,258.34,2733.99,3200.93,29.3,28.94,611.11,563.4,40.63,478.97,42.9,40.43,6.8,7.03,-3.31
Pu2-24,5.17,7.52,79.8,82.41,3127.36,2827.22,41.62,47.68,687.14,628.67,47.29,40.43,41.86,39.81,6.77,6.89,-1.76
Amel-1,5.05,6.2,87.79,106.6,2842.93,2641.58,35.57,38.92,464.66,475.71,39.1,39.17,41.24,40.58,6.04,6.02,0.37
Ang-0,4.21,6.34,70.62,79.43,2904.8,3085.72,31.72,38.74,658.62,622.8,41.13,43.86,42.47,39.55,6.08,6.93,-12.34
Ann-1,4.94,6.68,71.47,84.92,2994.39,3014.99,33.62,38.19,712.16,727.71,37.38,43.53,41.84,39.33,6.22,6.72,-7.36
An-2,5.74,9.63,84.45,97.49,2856.1,3071.4,43.78,53.09,432.76,396.52,45.45,50.5,42.09,39.51,6.47,6.81,-4.99
Aa-0,6.2,8.53,104.49,99.24,3353.22,3243.5,35.78,41.92,763.4,621.98,43.42,42.87,41.22,39.4,7.07,7.1,-0.39
Baa-1,4.58,7.26,76.64,121.89,3136.61,3002.58,33.26,37,493.33,483.94,46.99,40.15,42.6,39.79,7.11,6.97,1.99
Bs-2,3.11,8.42,74.62,117.4,2833.56,3392.44,31.35,49.77,653.98,540.57,37.57,47.98,42.52,39.05,6.86,7.56,-9.26
Benk-1,6.54,7.48,88.15,84.37,3064.56,3199.18,41.89,47.73,574.65,473.98,41.65,48.25,40.7,36.67,6.77,6.64,2.05
Be-1,6.47,7.74,102.26,131.91,3111.48,3085.3,47.52,39.72,728.04,682.51,41.06,39.47,42.4,40.78,6.86,7.03,-2.36
Ba-1,6.86,8.78,98.11,145.01,3026.66,3199.47,43.27,49.13,623.91,544.44,48.7,45.57,40.32,38.79,6.35,6.73,-5.66
Bsch-0,5.9,8.1,93.15,143.44,3039.72,3094.14,38.23,51.35,465.73,357.96,50.81,60.21,41.08,40.98,6.82,6.81,0.09
Blh-2,6.28,8.98,87.87,122.37,2885.71,3081.81,50.47,54.1,502.35,367.57,47.07,41.1,40.47,38.08,6.79,6.76,0.44
Ca-0,7.55,9.49,67.71,122.34,3668.99,3132.24,50.09,34.05,547.44,394.02,51.35,51.08,38.39,40.46,7.19,6.93,3.78
Chat-1,8.28,6.87,116.22,71.65,3103.25,2867.91,48.52,35.94,786.76,638.69,51.6,46.01,39.06,39.43,6.22,6.46,-3.79
Cit-0,6.33,7.75,76.43,91.01,3119.35,2888.86,49.9,38.73,749.47,619.93,49.17,46.2,38.99,37.58,6.85,7.22,-5.07
Co-2,6.68,6.14,87.57,98.66,3259.85,2601.69,53.45,42.95,513.24,411.81,46.29,38.53,40.22,39.25,6.39,5.81,10.06
Co-4,5.71,9.19,72.11,96.39,3442.89,3256.77,37.35,34.3,673.85,509.32,43.83,43.27,38.88,39.38,6.98,6.84,1.96
Com-1,7.02,7.42,85.2,93.59,3276.88,3311.51,39.45,50.74,829.69,710.65,35.34,41.89,38.98,39.78,6.55,7.01,-6.6
Da-0,4.83,6.44,78.05,86.49,3104.28,3327.67,39.6,46.08,482.58,485.24,50.19,45.05,38.78,39.62,7.43,7.48,-0.68
Di-1,5.62,9.41,75.94,98.81,3316.54,3737.95,37.73,51.26,449.99,314.51,37.5,49.28,39.72,39.55,5.28,6.67,-20.84
Db-0,6.59,7.97,108.95,78.95,3171.64,3244.85,40.71,32.38,593.24,511.55,49.42,49.31,40.07,38.82,6.34,6.69,-5.27
Do-0,6.12,9.03,82.6,103.93,2771.36,3039.58,40.71,48.31,563.36,423.04,40.48,48.31,40.48,38.67,6.71,6.84,-1.96
Dra-2,4.28,8.26,83.7,213.29,2569.85,3601.11,36.62,64.81,684.07,602.94,38.28,49.06,41.07,39.92,5.13,6.73,-23.79
Ede-1,4.89,9.91,62.34,75.38,3348.83,3125.93,38.85,37.11,494.79,491.91,45.36,53.25,41.23,38.41,6.45,7.18,-10.14
Ep-0,6.78,7.82,100.66,85.78,3159.61,3360.17,38.07,31.79,673.33,671.33,54.5,44.15,40.1,39.09,7.23,6.91,4.64
Es-0,5.89,9.11,91.32,115.69,2726.35,3050.22,41.47,41.01,539.56,520.48,34.9,40.25,41.41,39.92,5.96,6.33,-5.89
Est-0,10.26,6.77,169.37,78.08,3254.06,3156.88,43.53,30.94,608.18,503.54,57.79,42.06,39.55,39.73,6.44,6.72,-4.12
Fr-4,5.19,9.78,80.35,113.71,3308.21,3723.87,38.07,46.95,514.98,483.46,47.72,52.09,40.36,37.61,6.97,7.02,-0.74
Fi-1,8.56,5.65,117.26,79.55,3528.67,2648.84,39.43,21.18,634.55,538.52,63.82,46.13,37.98,38.21,7.1,6.31,12.44
